"Hour","P_bar_PV_Cluster1","P_bar_PV_Cluster2","P_bar_PV_Cluster3","P_bar_PV_Cluster4","P_bar_Wind_Cluster1","P_bar_Wind_Cluster2","P_bar_Wind_Cluster3","P_bar_Wind_Cluster4","Delta_P_PV_Cluster1","Delta_P_PV_Cluster2","Delta_P_PV_Cluster3","Delta_P_PV_Cluster4","Delta_P_Wind_Cluster1","Delta_P_Wind_Cluster2","Delta_P_Wind_Cluster3","Delta_P_Wind_Cluster4"
"00",0,0,0,0,20.6681415929204,41.0228571428571,16.3188053097345,28.720652173913,0,0,0,0,20.361706067982,31.208787054429,15.5375682787072,20.4342889940994
"01",0,0,0,0,19.946017699115,40.1471830985915,15.6617256637168,28.2626865671642,0,0,0,0,20.3408780607718,31.5629856933987,16.2571920979731,21.19380821093
"02",0,0,0,0,19.5763274336283,40.4302816901408,14.5307522123894,28.4316176470588,0,0,0,0,20.4022226067493,31.3922850076705,15.2680063696746,20.64663350172
"03",0,0,0,0,18.9982300884956,40.3658450704225,13.6055309734513,28.125,0,0,0,0,19.9976167075831,31.9603627423931,14.8125834889548,19.3418192981217
"04",0,0.00985915492957747,0.631858407079646,0.689705882352941,18.3902654867257,40.3573943661972,12.6836283185841,27.6319852941176,0,0.162826443504197,2.51695234835581,2.47474415949619,19.3894194012305,32.2028383384683,14.3137594121864,19.3633065468063
"05",0.0278761061946903,0.157746478873239,7.57920353982301,7.07720588235294,17.9628318584071,40.9933098591549,10.4528761061947,26.1308823529412,0.4687012653132,1.83263727460774,12.6551163349583,14.2601365156861,18.9321884381474,32.851172829922,12.5702068201405,20.1352959975653
"06",0.873451327433628,0.985915492957746,33.6154867256637,29.8477941176471,17.4199115044248,41.3450704225352,8.66150442477876,26.2422794117647,7.36687478796762,6.39470373373572,36.154076895411,38.5672449356137,17.6923786792406,34.1408925939653,11.8392885034405,21.5062428395053
"07",6.38053097345133,4.71267605633803,81.5066371681416,72.4808823529412,16.4966814159292,41.4200704225352,8.62367256637168,29.9305147058824,23.8209573352386,20.8273780083866,60.0551717090947,59.6540115212817,17.2627276488165,34.6428818014997,13.0413167632856,23.9729203915008
"08",24.0973451327434,17.6922535211268,134.437168141593,123.529411764706,15.3730088495575,41.9323943661972,9.08628318584071,33.8095588235294,55.0819235882464,52.5155020711055,72.3239463840125,68.8557883894974,17.3282773147187,34.3478520151337,13.6633941517317,24.5344659493828
"09",54.2004424778761,38.8154929577465,182.22610619469,168.386029411765,14.5632743362832,43.1144366197183,9.57345132743363,36.3871323529412,92.5731459036105,78.7120490237748,74.2233591007217,73.4795289873978,16.7042420820401,33.6735927487886,13.7099233045482,23.7471183268878
"10",82.3800884955752,59.7119718309859,213.314159292035,193.508823529412,14.4849557522124,45.2524647887324,9.85022123893805,38.0658088235294,117.198429874635,108.575927543531,74.668512138237,84.8288868236116,17.253673565937,33.3630809852473,13.4554135990979,23.1912087592734
"11",101.896460176991,75.6591549295775,229.05796460177,205.269852941176,15.3053097345133,47.9609154929577,10.1050884955752,39.4919117647059,126.455456076176,123.066509138048,73.6266778289822,101.553143715493,18.2108735334323,32.0525002775486,13.4097150586672,22.6284437288557
"12",109.100884955752,79.6619718309859,230.392920353982,205.290441176471,16.0314159292035,50.3883802816901,10.425,40.9985294117647,130.53857175358,122.406561364733,69.0164010597084,101.626634379928,19.1785363072728,29.6758601055746,13.445492920492,21.4493996350101
"13",101.249115044248,69.9112676056338,217.548230088496,194.857352941176,16.333407079646,51.9855633802817,10.7900442477876,42.0584558823529,122.271595454401,109.110341363718,61.687907091734,98.6827416044679,19.3066480339107,26.7298425062937,13.7366438730467,21.0115059242185
"14",76.9008849557522,52.8056338028169,189.681415929204,168.427205882353,16.4449115044248,52.9246478873239,11.1212389380531,42.3253676470588,102.718109226001,90.335542118962,59.7372290359151,95.1710984039596,18.9248586244296,24.7257438839947,14.1723889212659,21.1252434806038
"15",41.8420353982301,27.8718309859155,146.405309734513,129.463970588235,17.2871681415929,52.7609154929577,11.5838495575221,41.55,74.485963077836,65.1313290158355,53.8629276007688,80.391555451127,18.681770534602,24.367792313672,14.6325796498832,21.0763226195695
"16",13.541592920354,9.38098591549296,94.3234513274336,85.3330882352941,19.0606194690265,51.6507042253521,12.1506637168142,39.6496323529412,39.7955055478041,36.2996375585832,49.6111735614226,59.6887969271028,19.7902258963271,24.2438836754264,15.3420261774672,20.783487144987
"17",2.10309734513274,2.90352112676056,43.846017699115,40.3580882352941,20.6807522123894,49.7725352112676,12.7798672566372,36.6882352941176,13.8101990234164,16.3329729838184,38.2202942268003,41.7636320607227,21.0191346873373,25.5122874440566,15.9971450438572,20.28825656419
"18",0.278761061946903,0.507746478873239,11.4725663716814,10.4897058823529,21.6146017699115,47.9746478873239,14.2951327433628,34.0643382352941,3.65782867431205,5.78474353625826,16.8219269996722,19.8849844849925,20.7788288285897,27.109525577127,17.4463776485035,20.4918660624304
"19",0.0185840707964602,0.0640845070422535,1.50221238938053,2.15661764705882,22.1628318584071,46.281338028169,17.2002212389381,32.6514705882353,0.387200709426689,1.05837188277728,4.9303801353203,5.99402980079791,20.2945591552889,27.2884737769641,19.1255479169301,19.9576042362711
"20",0,0,0,0,22.3028761061947,44.5447183098592,19.3884955752212,32.0669117647059,0,0,0,0,20.3866718900145,27.2504779004482,19.2939661492317,19.2222138475757
"21",0,0,0,0,22.1621681415929,43.0721830985916,19.9201327433628,31.4481617647059,0,0,0,0,21.1047059813095,27.612469919978,17.8718016384528,18.8881832348857
"22",0,0,0,0,21.8528761061947,42.1816901408451,19.053982300885,30.3485294117647,0,0,0,0,21.9325614640905,28.6662886384235,16.2583860832859,19.2532859482959
"23",0,0,0,0,21.2701327433628,41.1084507042254,17.7862831858407,29.1816176470588,0,0,0,0,21.9207735505434,29.0127139084783,15.6608750432591,20.0176623144771
