Hour,Demand,Price_DA,13/7/2026,cost
0,121.9,11.93,,1454.267
1,121.8,11.3,,1376.34
2,137.7,10.96,,1509.192
3,163,10.63,,1732.69
4,475.4,10.37,,4929.898
5,566.6,10.26,,5813.316
6,578.2,10.39,,6007.498
7,445,11.55,,5139.75
8,430.9,11.74,,5058.766
9,538.3,11.97,,6443.451
10,513,10.41,,5340.33
11,334.4,10.34,,3457.696
12,230.64,9.64,,2223.3696
13,208.1,7.96,,1656.476
14,186.3,7.46,,1389.798
15,140.6,6.92,,972.952
16,130.52,7.18,,937.1336
17,134.8,7.73,,1042.004
18,132.2,9.54,,1261.188
19,127.3,11.28,,1435.944
20,124.7,13.44,,1675.968
21,121.9,13.98,,1704.162
22,122.5,13.67,,1674.575
23,121,13.29,,1608.09
