# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 52.495, -1.852 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"lat": "52.4948994", "lon": "-1.8518439", "date_from": "2025-01-01", "date_to": "2025-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,electricity,irradiance_direct,irradiance_diffuse,temperature
2025-01-01 00:00,0,0,0,10.042
2025-01-01 01:00,0,0,0,10.064
2025-01-01 02:00,0,0,0,10.127
2025-01-01 03:00,0,0,0,10.226
2025-01-01 04:00,0,0,0,10.369
2025-01-01 05:00,0,0,0,10.573
2025-01-01 06:00,0,0,0,10.685
2025-01-01 07:00,0,0,0,10.660
2025-01-01 08:00,0,0,0.001,10.610
2025-01-01 09:00,0,0,0.007,10.051
2025-01-01 10:00,0.005,0.001,0.022,8.129
2025-01-01 11:00,0.022,0.002,0.041,6.115
2025-01-01 12:00,0.046,0.007,0.064,5.786
2025-01-01 13:00,0.056,0.013,0.070,6.051
2025-01-01 14:00,0.042,0.015,0.053,6.114
2025-01-01 15:00,0.007,0.008,0.016,5.714
2025-01-01 16:00,0,0,0,4.891
2025-01-01 17:00,0,0,0,4.211
2025-01-01 18:00,0,0,0,4.004
2025-01-01 19:00,0,0,0,4.348
2025-01-01 20:00,0,0,0,4.237
2025-01-01 21:00,0,0,0,3.780
2025-01-01 22:00,0,0,0,3.324
2025-01-01 23:00,0,0,0,2.762
2025-01-02 00:00,0,0,0,1.875
2025-01-02 01:00,0,0,0,1.089
2025-01-02 02:00,0,0,0,0.426
2025-01-02 03:00,0,0,0,-0.381
2025-01-02 04:00,0,0,0,-1.023
2025-01-02 05:00,0,0,0,-1.669
2025-01-02 06:00,0,0,0,-2.046
2025-01-02 07:00,0,0,0,-2.260
2025-01-02 08:00,0.006,0.015,0.009,-2.069
2025-01-02 09:00,0.120,0.100,0.049,-1.075
2025-01-02 10:00,0.369,0.361,0.063,0.027
2025-01-02 11:00,0.476,0.492,0.062,1.243
2025-01-02 12:00,0.483,0.504,0.062,2.083
2025-01-02 13:00,0.415,0.425,0.059,2.474
2025-01-02 14:00,0.261,0.254,0.050,2.068
2025-01-02 15:00,0.062,0.069,0.018,-0.223
2025-01-02 16:00,0,0,0,-1.581
2025-01-02 17:00,0,0,0,-1.749
2025-01-02 18:00,0,0,0,-1.979
2025-01-02 19:00,0,0,0,-2.158
2025-01-02 20:00,0,0,0,-2.364
2025-01-02 21:00,0,0,0,-2.558
2025-01-02 22:00,0,0,0,-2.700
2025-01-02 23:00,0,0,0,-2.756
2025-01-03 00:00,0,0,0,-2.718
2025-01-03 01:00,0,0,0,-2.673
2025-01-03 02:00,0,0,0,-2.660
2025-01-03 03:00,0,0,0,-2.501
2025-01-03 04:00,0,0,0,-2.265
2025-01-03 05:00,0,0,0,-2.125
2025-01-03 06:00,0,0,0,-1.843
2025-01-03 07:00,0,0,0,-1.513
2025-01-03 08:00,0.015,0.024,0.010,-1.133
2025-01-03 09:00,0.174,0.156,0.051,0.138
2025-01-03 10:00,0.300,0.273,0.074,1.435
2025-01-03 11:00,0.389,0.372,0.081,2.639
2025-01-03 12:00,0.407,0.397,0.079,3.502
2025-01-03 13:00,0.356,0.344,0.072,3.813
2025-01-03 14:00,0.209,0.190,0.058,3.111
2025-01-03 15:00,0.032,0.035,0.019,0.932
2025-01-03 16:00,0,0,0,-0.174
2025-01-03 17:00,0,0,0,-0.228
2025-01-03 18:00,0,0,0,-0.340
2025-01-03 19:00,0,0,0,-0.498
2025-01-03 20:00,0,0,0,-0.702
2025-01-03 21:00,0,0,0,-0.804
2025-01-03 22:00,0,0,0,-0.760
2025-01-03 23:00,0,0,0,-0.846
2025-01-04 00:00,0,0,0,-0.901
2025-01-04 01:00,0,0,0,-0.917
2025-01-04 02:00,0,0,0,-0.896
2025-01-04 03:00,0,0,0,-0.901
2025-01-04 04:00,0,0,0,-0.926
2025-01-04 05:00,0,0,0,-1.011
2025-01-04 06:00,0,0,0,-1.121
2025-01-04 07:00,0,0,0,-1.081
